TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612744,Golden State,Warriors,2013,82,51,31,0.622,6,2,3,4,15,5,N/A,3236,7005,0.462,774,2037,0.38,1303,1731,0.753,896,2819,3715,1912,1784,642,1247,407,8549,10
1610612744,Golden State,Warriors,2014,82,67,15,0.817,1,1,16,5,15,5,LEAGUE CHAMPION,3410,7137,0.478,883,2217,0.398,1313,1709,0.768,853,2814,3667,2248,1628,762,1185,496,9016,1
1610612744,Golden State,Warriors,2015,82,73,9,0.89,1,1,15,9,15,5,FINALS APPEARANCE,3489,7159,0.487,1077,2592,0.416,1366,1790,0.763,816,2972,3788,2373,1701,689,1245,498,9421,1
1610612744,Golden State,Warriors,2016,82,67,15,0.817,1,1,16,1,15,5,LEAGUE CHAMPION,3532,7140,0.495,982,2562,0.383,1457,1850,0.788,770,2873,3643,2491,1585,785,1211,555,9503,1
1610612744,Golden State,Warriors,2017,82,58,24,0.707,2,1,16,5,15,5,LEAGUE CHAMPION,3509,6979,0.503,926,2369,0.391,1360,1668,0.815,691,2877,3568,2402,1607,656,1265,612,9304,1
1610612744,Golden State,Warriors,2018,82,57,25,0.695,1,1,14,8,15,5,FINALS APPEARANCE,3612,7361,0.491,1087,2824,0.385,1339,1672,0.801,797,2990,3787,2413,1757,625,1169,525,9650,2
1610612744,Golden State,Warriors,2019,65,15,50,0.231,15,5,0,0,15,5,N/A,2510,5730,0.438,678,2032,0.334,1214,1511,0.803,647,2138,2785,1663,1304,534,969,299,6912,29
1610612744,Golden State,Warriors,2020,72,39,33,0.542,9,4,0,0,15,5,N/A,2973,6347,0.468,1048,2789,0.376,1193,1520,0.785,574,2524,3098,1991,1526,587,1080,342,8187,12
1610612744,Golden State,Warriors,2021,82,53,29,0.646,3,2,16,6,15,5,LEAGUE CHAMPION,3323,7087,0.469,1176,3231,0.364,1280,1665,0.769,800,2930,3730,2223,1723,719,1221,372,9102,15
1610612744,Golden State,Warriors,2022,82,44,38,0.537,6,4,6,7,15,5,N/A,3538,7393,0.479,1363,3540,0.385,1314,1655,0.794,864,2793,3657,2446,1757,588,1336,323,9753,2
1610612745,Houston,Rockets,2013,82,54,28,0.659,4,2,2,4,15,5,N/A,3118,6603,0.472,779,2179,0.358,1814,2549,0.712,920,2797,3717,1755,1676,621,1323,461,8829,2
